SOURCE,YEAR,COUNTR,REGION,ADMIN_LEVEL,GAUL_AD0,GAUL_AD1,X,Y,DEN1,DEN2,DEN3,DEN4,N_TYPES
DE_4968.pdf,1988,Angola,Africa,0,8,-999,17.55011,-12.296889,1,0,0,0,1
MOH214,2007,Anguilla,Americas,0,9,-999,-63.064394,18.230617,1,0,0,0,1
DE_15421.pd,2008,Anguilla,Americas,0,9,-999,-63.064394,18.230617,1,0,0,0,1
DE_4968.pdf,1988,Aruba,Americas,0,14,-999,-69.969509,12.507838,1,0,0,0,1
MOH216,1993,Aruba,Americas,0,14,-999,-69.969509,12.507838,1,0,0,0,1
MOH219,2002,Aruba,Americas,0,14,-999,-69.969509,12.507838,1,0,0,0,1
JN379473,2004,Aruba,Americas,0,14,-999,-69.969509,12.507838,1,0,0,0,1
JN379475,1977,Bahamas,Americas,0,20,-999,-76.565751,24.320733,1,0,0,0,1
MOH222,2005,Bahamas,Americas,0,20,-999,-76.565751,24.320733,1,0,0,0,1
DE_2945.pdf,1995,Barbados,Americas,0,24,-999,-59.554949,13.167311,1,1,0,1,3
DE_4804.pdf,1996,Barbados,Americas,0,24,-999,-59.554949,13.167311,1,1,1,1,4
DE_4804.pdf,1997,Barbados,Americas,0,24,-999,-59.554949,13.167311,1,1,1,1,4
JN379487,1999,Barbados,Americas,0,24,-999,-59.554949,13.167311,1,0,0,0,4
MOH226,2000,Barbados,Americas,0,24,-999,-59.554949,13.167311,1,1,1,0,4
JN379488,2001,Barbados,Americas,0,24,-999,-59.554949,13.167311,1,0,1,0,4
JN379497,2003,Barbados,Americas,0,24,-999,-59.554949,13.167311,1,0,1,0,4
MOH230,2008,Barbados,Americas,0,24,-999,-59.554949,13.167311,1,0,0,0,4
MOH231,2009,Barbados,Americas,0,24,-999,-59.554949,13.167311,1,0,0,0,4
MOH233,2010,Barbados,Americas,0,24,-999,-59.554949,13.167311,1,1,0,0,4
JN379474,2005,Belize,Americas,0,28,-999,-88.686796,17.204856,1,0,0,0,1
DE_984.pdf,1996,"Virgin Islands, British",Americas,0,39,-999,-64.633463,18.441948,1,0,0,0,1
DE_16111.pd,2006,Burkina Faso,Africa,0,42,-999,-1.746191,12.274222,1,0,0,0,1
DE_16111.pd,2007,Burkina Faso,Africa,0,42,-999,-1.746191,12.274222,1,0,0,0,1
DE_4790.pdf,1998,Cambodia,Asia,0,44,-999,104.920458,12.801088,1,1,1,1,4
DE_16272.pd,2010,Cambodia,Asia,0,44,-999,104.920458,12.801088,1,1,1,1,4
FJ502943,2006,Cameroon,Africa,0,45,-999,12.742895,5.697279,1,0,1,0,2
HM635907,2009,Colombia,Americas,0,57,-999,-73.080462,3.906848,1,0,1,0,2
JN415497,2002,Cook Islands,Asia,0,60,-999, 201.053191,-19.250497,1,0,0,0,1
JN415498,2006,Cook Islands,Asia,0,60,-999,-158.946809,-19.250497,1,0,0,0,1
DE_4968.pdf,1988,Costa Rica,Americas,0,61,-999,-84.198982,9.968778,1,0,0,0,1
JF804016,2005,Costa Rica,Americas,0,61,-999,-84.198982,9.968778,1,0,0,0,1
FJ502869,2006,Costa Rica,Americas,0,61,-999,-84.198982,9.968778,1,0,0,0,1
FJ502859,2007,Cuba,Americas,0,63,-999,-79.015122,21.625128,1,0,0,0,1
DE_4790.pdf,1998,Cote d'Ivoire,Africa,0,66,-999,-4.025917,7.623518,1,0,0,0,1
FJ502873,2004,Cote d'Ivoire,Africa,0,66,-999,-5.553934,7.623518,1,0,0,0,1
DE_16236.pd,2008,Cote d'Ivoire,Africa,0,66,-999,-3.983073,7.623518,0,1,1,0,3
DE_4968.pdf,1988,Djibouti,Africa,0,70,-999,42.580192,11.733839,1,0,0,0,1
MOH247,2010,Dominica,Americas,0,71,-999,-61.356225,15.427064,1,0,0,0,1
MOH248,2011,Dominica,Americas,0,71,-999,-61.356225,15.427064,1,1,1,1,4
FJ502878,2006,Dominican Republic,Americas,0,72,-999,-70.493005,18.895394,1,0,0,0,1
JF804017,2007,Dominican Republic,Americas,0,72,-999,-70.493005,18.895394,1,0,0,0,1
DE_4784.pdf,1987,El Salvador,Americas,0,75,-999,-88.864278,13.728276,1,0,0,0,1
JN819417,1993,El Salvador,Americas,0,75,-999,-88.864278,13.728276,1,0,0,0,1
JX891665,2012,El Salvador,Americas,0,75,-999,-88.864278,13.728276,1,1,1,0,3
DE_4790.pdf,1998,Ethiopia,Africa,0,79,-999,39.637214,8.631261,1,0,0,0,1
DE_617.pdf,1974,Fiji,Asia,0,83,-999,177.893439,-17.689834,1,0,0,0,1
JN415503,2002,Fiji,Asia,0,83,-999,178.4124,-17.689834,1,0,0,0,1
JN415505,2006,Fiji,Asia,0,83,-999,177.893439,-17.689834,1,0,0,0,1
JX298571,2011,Fiji,Asia,0,83,-999,177.893439,-17.689834,1,0,0,0,1
JX298569,2012,Fiji,Asia,0,83,-999,177.893439,-17.689834,1,0,0,0,1
DE_4968.pdf,1988,French Guiana,Americas,0,86,-999,-53.234669,3.927455,1,0,0,0,1
DE_4790.pdf,1989,French Guiana,Americas,0,86,-999,-53.234669,3.927455,1,0,1,0,2
DE_332.pdf,1991,French Guiana,Americas,0,86,-999,-52.33,5.5,0,1,0,0,3
DE_332.pdf,1992,French Guiana,Americas,0,86,-999,-52.33,5.5,1,1,0,0,3
DE_332.pdf,1993,French Guiana,Americas,0,86,-999,-52.32379,5.499463,1,1,1,1,4
DE_332.pdf,1994,French Guiana,Americas,0,86,-999,-52.32379,5.499463,1,1,0,1,4
DE_332.pdf,1995,French Guiana,Americas,0,86,-999,-52.32379,5.499463,1,1,0,1,4
MOH197,2002,French Guiana,Americas,0,86,-999,-53.234669,3.927455,1,0,0,0,4
DE_4572.pdf,2005,French Guiana,Americas,0,86,-999,-51.8,4.9346,1,1,1,1,4
DE_14947.pd,2006,French Guiana,Americas,0,86,-999,-52.32379,4.923358,0,1,0,0,4
MOH198,2007,French Guiana,Americas,0,86,-999,-52.32379,4.923358,1,1,0,1,4
MOH199,2008,French Guiana,Americas,0,86,-999,-53.234669,3.927455,1,0,0,1,4
DE_786.pdf,1944,French Polynesia,Asia,0,87,-999,-145.471768,-15.475612,1,0,0,0,1
DE_504.pdf,1975,French Polynesia,Asia,0,87,-999,-145.471768,-15.475612,1,1,0,0,2
DE_504.pdf,1976,French Polynesia,Asia,0,87,-999,-145.471768,-15.475612,1,1,0,0,2
DE_2655.pdf,1989,French Polynesia,Asia,0,87,-999,-139.02317,-8.862005,1,0,1,0,3
DE_14657.pd,2001,French Polynesia,Asia,0,87,-999,-134.978771,-9.757107,1,0,0,0,3
DE_16073.pd,2007,Gabon,Africa,0,89,-999,12.157888,1.598475,0,1,0,0,1
DE_16073.pd,2010,Gabon,Africa,0,89,-999,13.788986,-0.622679,0,1,0,0,1
DE_16048.pd,2010,Benin,Africa,0,94,-999,0.624931,7.962766,1,0,1,0,2
JN379480,1977,Grenada,Americas,0,99,-999,-61.680889,12.115339,1,0,0,0,1
JN379482,1978,Grenada,Americas,0,99,-999,-61.680889,12.115339,1,0,0,0,1
JN379484,1981,Grenada,Americas,0,99,-999,-61.680889,12.115339,1,0,0,0,1
DE_4795.pdf,1995,Grenada,Americas,0,99,-999,-61.680889,12.115339,1,0,0,0,1
MOH14,2002,Guatemala,Americas,0,103,-999,-90.017848,16.975562,0,1,0,0,1
